rank,playoff,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,playoff_progression_score,next_season_playoff,eFG%,opp_eFG%,Net_eFG%,Off_Rating,Def_Rating,Net_Rating,TO_per_Game,REB_per_Game,Possessions,Pace,TOV%,TS%,AST_TO_Ratio,FTR,OREB%,DREB%,Win%,Home_Win%,Away_Win%,Conf_Win%,Min_per_Game,Avg_Attendance
6,0,798,1933,458,615,123,358,311,724,1035,451,555,242,484,107,2177,834,2008,391,531,152,434,335,720,1055,539,655,258,471,129,2211,13,21,34,9,8,4,13,7,15,6850,137455,0,1,44.46456285566477,45.31872509960159,-0.8541622439368268,6402.941176470588,6502.941176470588,-100.0,14.235294117647058,30.441176470588236,1655.12,48.68,29.242592682101602,49.396442185514616,0.9318181818181818,0.3181583031557165,30.164888457807955,68.36638338054769,38.23529411764706,52.94117647058824,23.52941176470588,31.818181818181817,201.47058823529412,4042.794117647059
3,1,860,1920,527,690,62,205,276,684,960,467,581,246,425,105,2309,848,1944,419,559,148,423,274,687,961,541,685,197,481,111,2263,19,15,34,11,6,8,9,11,11,6875,120676,2,1,46.40625,47.42798353909465,-1.0217335390946474,6791.176470588235,6655.882352941177,135.29411764705856,12.5,28.235294117647058,1699.28,49.97882352941176,25.010592721623276,51.92030940816694,1.0988235294117648,0.359375,28.66043613707165,71.39874739039665,55.88235294117647,64.70588235294117,47.05882352941176,50.0,202.2058823529412,3549.294117647059
3,1,928,2098,482,678,169,472,303,822,1125,532,617,252,566,84,2507,928,2232,445,615,148,496,337,787,1124,526,705,298,519,89,2449,18,16,34,12,5,6,11,11,9,6925,130586,1,0,48.2602478551001,44.89247311827957,3.367774736820529,7373.529411764705,7202.941176470588,170.5882352941171,16.647058823529413,33.088235294117645,1867.46,54.92529411764706,30.308547438767096,52.309374374040196,0.9399293286219081,0.323164918970448,27.798165137614678,70.92320966350302,52.94117647058824,70.58823529411765,35.294117647058826,55.00000000000001,203.6764705882353,3840.764705882353
5,0,915,2149,554,721,126,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,13,21,34,7,10,6,11,10,12,6800,138816,0,0,45.50953932061424,46.80365296803653,-1.294113647422293,7382.352941176471,7729.411764705883,-347.0588235294117,18.61764705882353,33.64705882352941,1983.3,58.33235294117647,31.91650279836636,50.887180485273134,0.8815165876777251,0.3355048859934853,34.15525114155251,69.24460431654677,38.23529411764706,41.17647058823529,35.294117647058826,45.45454545454545,200.0,4082.823529411765
7,0,796,1838,428,569,193,521,285,647,932,501,642,271,518,126,2213,839,1868,503,669,109,358,321,633,954,528,612,267,476,75,2290,9,23,32,5,11,4,12,7,14,6425,180270,0,0,48.5582154515778,47.83190578158458,0.7263096699932206,6915.625,7156.25,-240.625,16.1875,29.125,1679.3600000000001,52.480000000000004,30.84508384146341,52.98415981918826,0.9671814671814671,0.30957562568008706,31.045751633986928,66.83884297520662,28.125,31.25,25.0,33.33333333333333,200.78125,5633.4375
6,0,762,1822,472,591,157,446,286,649,935,458,600,242,491,118,2153,853,1899,412,583,131,367,306,660,966,565,616,256,466,140,2249,10,22,32,7,9,3,13,7,14,6475,138922,0,1,46.130625686059275,48.367561874670876,-2.236936188611601,6728.125,7028.125,-300.0,15.34375,29.21875,1646.78,51.461875,29.815761668225267,51.7040979039788,0.9327902240325866,0.3243688254665203,30.23255813953488,67.95811518324606,31.25,43.75,18.75,33.33333333333333,202.34375,4341.3125
4,1,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,16,16,32,10,6,6,10,12,9,6425,134945,1,0,44.986301369863014,48.70665932856357,-3.7203579587005535,6553.125,6653.125,-100.0,13.6875,29.625,1573.2599999999998,49.16437499999999,27.840280691049163,50.40380732621864,1.0205479452054795,0.3178082191780822,32.846715328467155,68.72964169381108,50.0,62.5,37.5,57.14285714285714,200.78125,4217.03125
5,0,839,2011,449,563,210,600,334,654,988,539,668,299,474,121,2337,837,1908,490,638,157,421,309,677,986,570,631,227,512,170,2321,16,18,34,11,6,5,12,12,12,6875,141778,0,0,46.941819990054704,47.982180293501045,-1.0403603034463416,6873.529411764705,6826.470588235295,47.0588235294108,13.941176470588236,29.058823529411764,1729.72,50.874117647058824,27.403279143445182,51.73283983849261,1.1371308016877637,0.2799602187966186,33.03659742828882,67.91277258566979,47.05882352941176,64.70588235294117,29.411764705882355,50.0,202.2058823529412,4169.941176470588
6,0,791,2011,450,580,166,481,396,705,1101,555,639,261,486,134,2198,804,1865,516,695,121,352,281,688,969,514,603,268,466,162,2245,15,19,34,10,7,5,12,8,12,6850,128989,0,1,43.460964694181996,46.35388739946381,-2.892922705281812,6464.7058823529405,6602.941176470588,-138.23529411764775,14.294117647058824,32.38235294117647,1659.5,48.80882352941177,29.2859294968364,48.49527843967876,1.1419753086419753,0.28841372451516656,36.53136531365313,71.50101419878297,44.11764705882353,58.82352941176471,29.411764705882355,40.0,201.47058823529412,3793.794117647059
2,1,784,1958,452,595,150,468,341,671,1012,493,668,336,477,95,2170,775,1798,460,642,123,367,279,711,990,435,644,234,558,113,2133,21,13,34,14,3,7,10,14,6,6925,142494,2,1,43.871297242083756,46.52391546162403,-2.6526182195402725,6382.35294117647,6273.529411764705,108.82352941176487,14.029411764705882,29.764705882352942,1666.64,49.01882352941177,28.620457927326836,48.878277322281285,1.0335429769392033,0.30388151174668027,32.414448669201526,70.63157894736842,61.76470588235294,82.35294117647058,41.17647058823529,70.0,203.6764705882353,4191.0
