playerID,year,tmID,PTS,FGM,FGA,FTM,FTA,DREB,OREB,AST,STL,BLK,PF,TO,GmPTS,GmFGM,GmFGA,GmFTM,GmFTA,GmDREB,GmOREB,GmAST,GmSTL,GmBLK,GmPF,GmTO,PIE
ndiayas01w,2,DET,376,156,341,59,76,111,60,49,22,28,82,73,2103,774,1914,412,542,621,324,469,225,82,602,498,0.19584332533972823
ndiayas01w,3,DET,275,126,270,23,39,118,44,39,17,12,65,58,2114,766,1919,472,651,719,360,478,201,132,609,541,0.15203761755485892
ndiayas01w,4,DET,20,10,21,0,2,9,5,1,3,1,3,9,2553,902,2004,624,882,851,379,545,263,158,605,608,0.005766710353866317
ndiayas01w,5,IND,12,5,19,2,4,9,2,4,1,3,7,8,2198,791,2011,450,580,705,396,555,261,134,639,486,-0.0016567263088137839
ndiayas01w,7,HOU,35,16,35,3,6,20,10,8,1,1,14,10,2507,928,2098,482,678,822,303,532,252,84,617,566,0.01337126600284495
ndiayas01w,8,SEA,10,5,14,0,0,3,4,0,1,1,6,5,2734,964,2210,582,715,820,344,533,242,151,620,533,-0.0017119100024455857
ndongem01w,7,LAS,20,7,27,6,13,11,15,3,7,8,23,6,2575,962,2195,540,726,852,350,610,296,129,679,534,-0.0018036588508116465
nemcoev01w,1,CLE,185,67,164,22,24,32,9,23,15,8,29,27,2185,809,1828,426,570,603,331,539,259,91,647,538,0.0748792270531401
nemcoev01w,2,CLE,34,13,38,5,8,9,1,8,2,5,9,6,2004,763,1770,372,505,662,297,503,267,83,532,444,0.008609271523178808
nevescl01w,1,DET,179,63,166,25,30,27,8,59,31,1,30,55,2331,868,1980,519,699,644,341,503,260,88,701,530,0.07520111927247289
nevescl01w,2,DET,95,34,94,8,8,26,3,34,21,0,21,28,2103,774,1914,412,542,621,324,469,225,82,602,498,0.054756195043964825
nevescl01w,3,MIA,37,11,31,11,16,7,0,25,8,0,18,13,2046,774,1856,369,529,573,296,476,274,96,643,435,0.016867469879518072
newtoch01w,6,SAC,148,60,149,22,36,34,32,55,24,9,102,37,2329,853,1986,494,721,674,369,527,304,108,684,500,0.025842329080798167
newtoch01w,7,CHI,176,52,155,59,80,52,19,58,36,7,69,40,2322,858,2175,449,643,680,357,509,277,125,674,527,0.0774487471526196
newtoch01w,8,SAC,219,74,197,60,78,34,28,46,31,6,96,42,2527,901,2214,572,745,723,452,537,325,101,642,611,0.041224613519248256
newtoch01w,9,SAC,117,38,95,39,51,22,13,28,30,1,56,25,2545,883,2159,611,816,721,388,473,319,77,690,586,0.035213563743071406
newtoch01w,10,SAC,68,26,70,12,18,20,10,39,18,3,31,16,2610,946,2194,586,744,763,391,540,289,98,645,584,0.030085564449351367
ngarsch01w,7,NYL,27,8,29,11,25,7,11,5,5,2,10,8,2372,822,2069,512,650,736,285,475,252,112,674,576,-0.001787629603146228
ngoyibe01w,3,NYL,6,3,5,0,0,4,1,0,0,2,2,0,2089,772,1740,400,567,610,260,496,261,100,638,458,0.005338078291814947
ngoyibe01w,6,SAS,111,46,81,19,26,44,17,5,5,2,45,25,2141,764,1833,503,652,690,256,433,195,90,650,535,0.050854353132628156
